ip,timestamp,payload,label
192.168.1.1,2025-03-31 14:00:00,"hello",0
192.168.1.2,2025-03-31 14:01:00,"book_name=python",0
192.168.1.3,2025-03-31 14:02:00,"lorem ipsum",0
192.168.1.4,2025-03-31 14:03:00,"test123",0
192.168.1.5,2025-03-31 14:04:00,"safe input",0
192.168.1.6,2025-03-31 14:05:00,"simple text",0
192.168.1.7,2025-03-31 14:06:00,"normal search",0
192.168.1.8,2025-03-31 14:07:00,"submit=form",0
192.168.1.9,2025-03-31 14:08:00,"welcome user",0
192.168.1.10,2025-03-31 14:09:00,"info=name",0
192.168.1.20,2025-03-31 14:24:00,"<script>alert('xss')</script>",3
192.168.1.21,2025-03-31 14:25:00,"<img src=x onerror=alert(1)>",3
192.168.1.22,2025-03-31 14:26:00,"<svg/onload=alert(1)>",3
192.168.1.23,2025-03-31 14:27:00,"<iframe src=javascript:alert(1)>",3
192.168.1.24,2025-03-31 14:28:00,"<body onload=alert(1)>",3
192.168.1.25,2025-03-31 14:29:00,"<video><source onerror=alert(1)></video>",3
192.168.1.26,2025-03-31 14:30:00,"<a href='javascript:alert(1)'>click</a>",3
192.168.1.27,2025-03-31 14:31:00,"<form><button formaction='javascript:alert(1)'>Click</button></form>",3
192.168.1.28,2025-03-31 14:32:00,"<details open ontoggle=alert(1)>",3
192.168.1.30,2025-03-31 14:33:00,"' OR '1'='1",4
192.168.1.31,2025-03-31 14:34:00,"' OR 1=1 -- ",4
192.168.1.32,2025-03-31 14:35:00,"' UNION SELECT null,null -- ",4
192.168.1.33,2025-03-31 14:36:00,"SELECT * FROM users",4
192.168.1.34,2025-03-31 14:37:00,"DROP TABLE users",4
192.168.1.35,2025-03-31 14:38:00,"INSERT INTO admin (id,user) VALUES (1,'hacker')",4
192.168.1.36,2025-03-31 14:39:00,"UPDATE users SET role='admin' WHERE id=1",4
192.168.1.37,2025-03-31 14:40:00,"DELETE FROM accounts",4
192.168.1.38,2025-03-31 14:41:00,"' or '1'='1' -- ",4
192.168.1.39,2025-03-31 14:42:00,"or 1=1",4
192.168.1.40,2025-03-31 14:43:00,"or true--",4
192.168.1.41,2025-03-31 14:44:00,"union select 1,2,3",4

